"id","ChapterId","ChapterCode","ChapterName","Alert","DueDate","URL"
"alert-11","27003d27-aa19-4bf8-a48f-05c9ba2361fa","CHP258","Kappa Upsilon Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/258"
"alert-12","8902cf9e-d0e2-44c3-9070-0601c9d2699b","CHP007","Theta-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/007"
"alert-13","a9af9e03-2f4d-472d-a33a-0649679c503d","CHP014","Omicron-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/014"
"alert-14","eaba5722-c8c1-4161-a0b2-0669d24b243c","CHP175","Eta Iota Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/175"
"alert-15","d46dec1c-a9b9-4348-8890-08a8ab235d0a","CHP198","Theta Theta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/198"
"alert-16","c7f0f7aa-57b0-4656-8a2e-08ee3a83d787","CHP405","Pi Psi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/405"
"alert-17","2facb776-ab09-4e16-b70c-090404329ed5","CHP064","Beta Sigma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/064"
"alert-18","0772931d-cf8c-49c7-abf9-093cf1a0970d","CHP268","Lambda Zeta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/268"
"alert-19","84a006f9-a09d-41bc-9cf7-09ab67a37c74","CHP105","Delta Lambda-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/105"
"alert-20","28f72d5a-32d3-4ca8-a6d2-09bf0e439c47","CHP278","Lambda Pi-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/278"
"alert-21","4f93acbf-403e-4db3-845f-09ea225eb469","CHP256","Kappa Sigma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/256"
"alert-22","d8b8de93-5123-4a7a-8ede-0ae14e4b26ea","CHP340","Xi Zeta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/340"
"alert-23","4e266fd5-1238-494f-827b-0b973c472c2a","CHP357","Xi Psi-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/357"
"alert-24","168c808e-52bd-4a94-9b54-0bb899be2421","CHP085","Gamma Omicron-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/085"
"alert-25","ea9ed2ca-91c9-4fca-b34f-0d1cff67b528","CHP371","Omicron Nu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/371"
"alert-26","e5262465-e44f-4642-bbcc-0dd9244c0618","CHP130","Epsilon Mu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/130"
"alert-27","6963fe7f-0dd7-454e-9d5a-0df70a7aacfb","CHP079","Gamma Iota Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/079"
"alert-28","0f52016e-b61e-4792-bffc-0e0528a64a64","CHP121","Epsilon Gamma-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/121"
"alert-29","dd927444-0ae0-4e76-bbc3-0e089908e87b","CHP319","Nu Iota Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/319"
"alert-30","b4c6df1b-343b-489d-887d-0f52b006c1d8","CHP167","Eta Alpha Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/167"
"alert-31","76538f1a-c00a-4735-85d9-101888993a6d","CHP518","Chi Pi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/518"
"alert-32","d4d633e7-cf4e-4ff6-bae4-123d3007b1ac","CHP457","Upsilon Gamma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/457"
"alert-33","f75e504f-d1d5-4310-b232-1299d57fd53f","CHP218","Iota Delta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/218"
"alert-34","090a28be-3827-4126-a641-12aac57fd2a3","CHP443","Tau Nu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/443"
"alert-35","55b9b6b3-bac4-4314-ae15-12db0cddeb31","CHP165","Zeta Psi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/165"
"alert-36","1876dced-3ca9-4641-9e1a-13bf827c9151","CHP191","Theta Alpha Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/191"
"alert-37","5aa44f33-7cc3-4ffb-882e-143666bec818","CHP027","Alpha Epsilon Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/027"
"alert-38","c7c80df2-6a72-4d3a-84b1-172bf337f44f","CHP171","Eta Epsilon Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/171"
"alert-39","9f305251-3cd3-424a-8015-17faaec12e68","CHP491","Phi Nu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/491"
"alert-40","c1bde154-d5b3-48f3-9873-18ebd8ef516d","CHP058","Beta Mu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/058"
"alert-41","f29d4156-1470-4f59-b53d-1a1e67ee66a1","CHP109","Delta Omicron Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/109"
"alert-42","9630720d-8be6-4eb6-a55c-1ad5b7460e09","CHP044","Alpha Chi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/044"
"alert-43","b8d7f595-a336-4250-8f61-1cd96a6c6f2f","CHP081","Gamma Lambda Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/081"
"alert-44","dff54b22-7d01-4613-bf87-1f51edc471d9","CHP420","Rho Xi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/420"
"alert-45","e6e2c886-1e38-4e79-8c34-200b5a792f84","CHP540","Psi Xi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/540"
"alert-46","6ed01f2f-96ac-40ab-9f88-203de0b4b522","CHP386","Pi Delta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/386"
"alert-47","8e8f9576-9584-4663-b7a4-20410201499f","CHP025","Alpha Gamma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/025"
"alert-48","06a17f31-f1ee-4b86-a4f9-20842177ef37","CHP120","Epsilon Beta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/120"
"alert-49","6481814c-1857-42c0-8375-20de5a4c1409","CHP142","Epsilon Omega Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/142"
"alert-50","c462fa08-c431-4133-994f-2278e7b1eaa7","CHP403","Pi Phi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/403"
"alert-51","a924ca34-5597-41d8-b1d9-2282fba1fe2a","CHP434","Tau Delta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/434"
"alert-52","5ef438d0-f35b-4583-91c7-232b6f89cde6","CHP011","Mu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/011"
"alert-53","7c133854-fd1f-448e-8be1-23c653e632bd","CHP249","Kappa Lambda Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/249"
"alert-54","3e92ae01-a3a9-4610-843e-24147f00c9fd","CHP046","Alpha Omega Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/046"
"alert-55","eed9a5a6-7762-4418-9008-24198672f6b5","CHP369","Omicron Lambda Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/369"
"alert-56","0fc009d5-732b-480e-907c-2469a4b06f47","CHP391","Pi Iota Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/391"
"alert-57","b07fcac9-ac20-45b1-9c44-2497b8252155","CHP358","Xi Omega Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/358"
"alert-58","eab878e0-73da-4044-b65d-24e5a683f952","CHP032","Alpha Kappa-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/032"
"alert-59","233c8c8c-2aa3-4a36-a84d-25f58e2272a0","CHP050","Beta Delta-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/050"
"alert-60","99c96167-53d0-4a3c-94c7-261612f6ec27","CHP110","Delta Pi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/110"
"alert-61","8f44769c-8a2c-4c02-9de7-26f4d9b3df13","CHP223","Iota Iota Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/223"
"alert-62","27913f06-c4c8-42db-8fbd-27605b064a66","CHP313","Nu Gamma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/313"
"alert-63","12f8448e-8e55-49b1-bda3-27c7bc6dad61","CHP286","Lambda Omega Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/286"
"alert-64","12fcafad-c9c9-4ff0-8df6-27c84d2bcee8","CHP360","Omicron Beta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/360"
"alert-65","8e4f0ff1-74f1-458a-a388-27d6480ea1a9","CHP071","Gamma Alpha Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/071"
"alert-66","6a2132ca-8efb-4b53-ab36-28eb4bf63fba","CHP300","Mu Xi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/300"
"alert-67","5aa89bb6-3622-47cd-a760-29281b9491c0","CHP503","Chi Alpha Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/503"
"alert-68","f432239b-f1c9-4a75-a8f6-2a42f987a2fd","CHP056","Beta Kappa Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/056"
"alert-69","ca99bbb2-20a4-43ac-9d46-2af3bc41f146","CHP321","Nu Lambda Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/321"
"alert-70","95cf855e-9fde-45b4-b252-2b691e44c3e5","CHP213","Theta Psi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/213"
"alert-71","cc57d44e-c3f6-479d-bf21-2b850a271470","CHP541","Psi Omicron Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/541"
"alert-72","57e85a0f-3f72-4395-ae73-2b8585d02d04","CHP037","Alpha Omicron Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/037"
"alert-73","3f8e9530-f1fd-433f-b656-2c1873da6bd8","CHP057","Beta Lambda-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/057"
"alert-74","e7b5229c-adf6-47da-bc45-2c4a681242f6","CHP481","Phi Gamma Chapter (Virtual)","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/481"
"alert-75","14d5937b-de38-4555-b3fd-2e80f89aa20e","CHP492","Phi Xi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/492"
"alert-76","98f17080-ae95-4841-9cb5-303dac69600b","CHP136","Epsilon Sigma-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/136"
"alert-77","ae11a5c1-b989-4c23-b8d0-3165583db3f3","CHP447","Tau Rho Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/447"
"alert-78","2fba04c6-58a6-466b-93e1-3199578170c8","CHP143","Zeta Alpha Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/143"
"alert-79","54b46b4a-44f8-49f5-9b36-31c08d168bd9","CHP043","Alpha Phi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/043"
"alert-80","ce9a7452-7fca-462f-8b77-31cc728cc6f3","CHP145","Zeta Gamma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/145"
"alert-81","0d14b2ca-1321-4a44-a53b-320cfc1ce959","CHP242","Kappa Delta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/242"
"alert-82","66ac058c-8986-4854-bc38-3239c73de4a2","CHP396","Pi Xi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/396"
"alert-83","25dbe280-6049-49d7-9026-329c564ac19e","CHP459","Upsilon Epsilon Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/459"
"alert-84","c79674b7-dc5e-44dc-a053-3451eb3155bc","CHP467","Upsilon Nu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/467"
"alert-85","6551a43c-acfb-4f4f-b239-3464d8c0cf7a","CHP388","Pi Zeta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/388"
"alert-86","23df5529-fb69-4fcf-9f9a-34a1ca40fcbf","CHP439","Tau Iota Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/439"
"alert-87","5a6730c3-9433-40cb-b4a2-34bf2c08d20e","CHP504","Chi Beta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/504"
"alert-88","0d06fb5a-236e-48cd-9cf8-34cf21327156","CHP112","Delta Sigma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/112"
"alert-89","6c25d41c-f8ea-4ec1-99ce-351f2aa53f58","CHP392","Pi Kappa Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/392"
"alert-90","13051ec6-2ac7-43c6-bc47-35c2c859da69","CHP006","Eta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/006"
"alert-91","c534f336-3f01-4713-8ee1-3793c0b2982b","CHP251","Kappa Nu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/251"
"alert-92","d4449b87-649b-4dd7-8556-37ad93618eea","CHP407","Rho Alpha Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/407"
"alert-93","4c990d95-c92b-4a50-adcb-3833b32e7f96","CHP277","Lambda Omicron Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/277"
"alert-94","8a045e9f-6a0c-4b88-afc7-3860a8433d1d","CHP410","Rho Delta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/410"
"alert-95","fd4c0b81-66a9-497b-a81e-3a5679f2d781","CHP162","Zeta Upsilon-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/162"
"alert-96","5cf37fcf-69f8-4882-b730-3b49072daf2d","CHP253","Kappa Omicron Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/253"
"alert-97","3da35eda-ed1b-4e4d-95fd-3b7b293e53ac","CHP280","Lambda Sigma Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/280"
"alert-98","68ae5678-f942-4790-90e0-3c1559cea711","CHP317","Nu Eta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/317"
"alert-99","e8ee5e58-c3db-4df3-a91c-3cb7574696bb","CHP406","Pi Omega Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/406"
"alert-100","71d30de1-5237-4ac7-a9b8-3da5525192f2","CHP368","Omicron Kappa Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/368"
"alert-101","3e24f2bd-2a65-429f-abf7-3dc97cbeea9d","CHP138","Epsilon Upsilon Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/138"
"alert-102","c2f8172a-0384-4d8f-885f-3df35079fda4","CHP476","Upsilon Chi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/476"
"alert-103","88d1fd62-2b35-46dc-9a68-3e8192120d73","CHP364","Omicron Zeta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/364"
"alert-104","fe123a2e-a0d1-41d1-a732-40184032db68","CHP437","Tau Eta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/437"
"alert-105","0bdf82fa-62f0-4b25-bd7b-407039456157","CHP124","Epsilon Zeta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/124"
"alert-106","0e6af572-48ef-41f1-9280-40e8dcb95b26","CHP097","Delta Gamma-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/097"
"alert-107","8f151282-96ea-4712-8abe-4101ffc28bc0","CHP227","Iota Nu-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/227"
"alert-108","573f7267-d322-4d7e-bdbb-413d61c5c725","CHP345","Xi Lambda Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/345"
"alert-109","3ff1e048-bf8d-40cc-b97e-414eb5b54218","CHP226","Iota Mu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/226"
"alert-110","6d078a98-bd52-4a73-b769-41c7a0ff13c8","CHP087","Gamma Rho Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/087"
"alert-111","41907587-1f77-4231-9ee6-41ef0e50483f","CHP021","Psi-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/021"
"alert-112","93acf1c2-8cb2-4118-b558-42331f337f95","CHP061","Beta Omicron Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/061"
"alert-113","5bc0bae1-ebd3-4fa3-b519-42912a9880e4","CHP065","Beta Tau Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/065"
"alert-114","f84a2104-572e-4216-a994-43c48e0897d3","CHP072","Gamma Beta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/072"
"alert-115","65801a24-5df5-4f11-84d5-43e6dfa42e09","CHP179","Eta Nu Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/179"
"alert-116","915e0f44-fa66-4148-8996-441896117a98","CHP390","Pi Theta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/390"
"alert-117","050e728f-7401-41e9-84ac-443d62cf0fa0","CHP344","Xi Kappa-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/344"
"alert-118","289ce2a5-f0b8-4d73-a357-45aad7c64f56","CHP292","Mu Zeta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/292"
"alert-119","54704991-6f29-4c97-932d-4617d1b9650c","CHP192","Theta Beta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/192"
"alert-120","fbd2cf2e-627c-4924-8743-47526bacd1b9","CHP307","Mu Phi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/307"
"alert-121","c16c769f-264b-4015-8689-47b7d8b47dbc","CHP334","Nu Omega Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/334"
"alert-122","c2887173-dafa-4cad-871b-47cd5b8b2dba","CHP214","Theta Omega Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/214"
"alert-123","cc2590f6-e8d1-4f29-bd0a-47cf4f9e1c07","CHP123","Epsilon Epsilon Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/123"
"alert-124","d1aaf2a4-9fa1-418f-b10d-48263be5563d","CHP308","Mu Chi Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/308"
"alert-125","67004308-9ffb-4036-8905-4a097cab1146","CHP480","Phi Beta Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/480"
"alert-126","022d149f-dcb0-461e-8230-4a5da7d20205","CHP164","Zeta Chi-at-Large Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/164"
"alert-127","1d188dfd-6fda-459c-a55e-4b689b943c7a","CHP296","Mu Kappa Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/296"
"alert-128","c37f4985-0b84-49ad-ab69-4c092c78b21f","CHP383","Pi Alpha Chapter","Chapter Annual Report is due by 2 August 2017.","8/2/2017 12:00:00 AM","https://management.nursingsociety.org/Chapter/383"
